id,id,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore,abs_squidScore,tScore_qcut,pScore_qcut,tScore_rnd,pScore_rnd,sScore_rnd,sScore_multi,sScore_Output,sScore,sScore_qcut
58,93,/m/chuck,Chuck,Drama,R,2017,80.0,63,17.0,3,2,8,6,1,6,no-one should,-17.0,bad
59,94,/m/fall_to_grace,Fall to Grace,Drama,NR,2006,56.0,20,36.0,1,0,5,2,3,0,no-one should,-36.0,worst
60,95,/m/searching_for_sugar_man,Searching for Sugar Man,Documentary,PG-13,2012,94.0,92,2.0,4,4,9,9,2,16,universal,-2.0,okay
61,97,/m/extraordinary_stories,Extraordinary Stories,Classics,NR,2011,100.0,96,4.0,4,4,1,9,4,16,universal,-4.0,okay
62,99,/m/you_might_as_well_live,You Might as Well Live,Comedy,R,2009,67.0,57,10.0,2,1,6,5,1,2,no-one should,-10.0,bad
63,101,/m/big_significant_things,Big Significant Things,Comedy,NR,2015,20.0,43,23.0,0,0,2,4,2,0,no-one should,23.0,best
64,104,/m/donovans_reef,Donovan's Reef,Action & Adventure,NR,1963,55.0,77,22.0,1,3,5,7,2,3,no-one should,22.0,best
65,105,/m/butter_2011,Butter,Comedy,R,2012,34.0,44,10.0,0,0,3,4,1,0,no-one should,10.0,good
66,106,/m/1136058-hillside_strangler,The Hillside Strangler,Drama,R,2004,15.0,32,17.0,0,0,1,3,1,0,no-one should,17.0,best
67,107,/m/daredevil,Daredevil,Action & Adventure,PG-13,2003,44.0,35,9.0,1,0,4,3,9,0,no-one should,-9.0,bad
68,109,/m/kissed,Kissed,Drama,R,1997,70.0,67,3.0,2,2,7,6,3,4,no-one should,-3.0,okay
69,111,/m/cats_meow,The Cat's Meow,Comedy,PG-13,2001,75.0,51,24.0,2,1,7,5,2,2,no-one should,-24.0,worst
70,112,/m/crush_2002,Crush,Comedy,R,2002,36.0,58,22.0,0,1,3,5,2,0,no-one should,22.0,best
71,115,/m/drumline,Drumline,Comedy,PG-13,2002,82.0,70,12.0,3,2,8,7,1,6,no-one should,-12.0,bad
72,116,/m/1158404-nathalie,Nathalie,Art House & International,NR,2003,71.0,54,17.0,2,1,7,5,1,2,no-one should,-17.0,bad
73,117,/m/curse_of_the_golden_flower,Curse of the Golden Flower,Action & Adventure,R,2006,65.0,65,0.0,2,2,6,6,0,4,no-one should,0.0,okay
74,121,/m/10008992-meeting_resistance,Meeting Resistance,Documentary,NR,2007,82.0,47,35.0,3,1,8,4,3,3,no-one should,-35.0,worst
75,122,/m/accidental_tourist,The Accidental Tourist,Comedy,PG,1988,81.0,60,21.0,3,1,8,6,2,3,no-one should,-21.0,worst
76,123,/m/rosa_luxemburg,Die Geduld der Rosa Luxemburg,Art House & International,NR,1986,100.0,51,49.0,4,1,1,5,4,4,critic dominant - risky,-49.0,worst
77,124,/m/summer_2018,Leto,Drama,NR,2019,78.0,82,4.0,2,3,7,8,4,6,no-one should,4.0,good
78,125,/m/a_dark_place,A Dark Place (Steel Country),Drama,R,2019,48.0,75,27.0,1,3,4,7,2,3,no-one should,27.0,best
79,126,/m/national_lampoon_presents_the_beach_party_at_the_threshold_of_hell,National Lampoon Presents The Beach Party at the Threshold of Hell,Comedy,R,2006,67.0,45,22.0,2,1,6,4,2,2,no-one should,-22.0,worst
80,127,/m/dude_wheres_the_party,"Dude, Where's the Party?",Comedy,PG-13,2003,69.0,62,7.0,2,2,6,6,7,4,no-one should,-7.0,okay
81,129,/m/the_beautiful_person,The Beautiful Person (La Belle Personne),Art House & International,NR,2008,50.0,58,8.0,1,1,5,5,8,1,no-one should,8.0,good
