id,title,genre,cag_rating,cag_release,sScore,sScore_qcut
145,Storks,Animation,PG,2016,-4.0,okay
146,À pas de loup (On the Sly),Art House & International,NR,2012,-38.0,worst
147,Slackers,Comedy,R,2002,40.0,best
148,Fiorile (Wild Flower),Art House & International,PG-13,1993,2.0,good
149,Tito and the Birds (Tito e os Pássaros),Action & Adventure,NR,2018,-1.0,okay
150,Girlfriend Boyfriend,Comedy,NR,2012,11.0,good
151,"Pepi, Luci, Bom and Other Girls Like Mom (Pepi, Luci, Bom y otras chicas del montón)",Art House & International,NR,1980,14.0,good
152,Fargo,Drama,R,1996,0.0,okay
153,The Guitar,Drama,R,2008,22.0,best
154,Then She Found Me,Comedy,R,2007,-6.0,okay
155,Innocence,Action & Adventure,PG-13,2014,15.0,good
156,Meditation Park,Drama,NR,2017,11.0,good
157,The Blossoming of Maximo Oliveros,Art House & International,NR,2006,-8.0,bad
158,Hell Night,Horror,R,1981,-11.0,bad
159,Pope Francis - A Man of His Word,Documentary,PG,2018,-6.0,okay
160,My Man Godfrey,Classics,G,1936,-7.0,okay
161,Ballets Russes,Documentary,NR,2005,-11.0,bad
162,The Color Purple,Drama,PG-13,1985,14.0,good
163,The House on Carroll Street,Action & Adventure,PG,1988,-38.0,worst
164,Despair (Despair - Eine Reise ins Licht),Art House & International,NR,1978,11.0,good
165,The Guatemalan Handshake,Art House & International,NR,2006,-19.0,worst
166,Marvin's Room,Drama,PG-13,1996,-21.0,worst
167,Powaqqatsi,Art House & International,G,1988,25.0,best
168,Manufactured Landscapes,Documentary,G,2007,-4.0,okay
169,Honey Boy,Drama,R,2019,-3.0,okay
170,Rudolph the Red-Nosed Reindeer: The Movie,Animation,G,1998,18.0,best
171,Pay 2 Play: Democracy's High Stakes,Comedy,NR,2014,14.0,good
172,Ultrasuede: In Search of Halston,Documentary,PG-13,2012,5.0,good
173,Casino,Drama,R,1995,13.0,good
174,The Hound of the Baskervilles,Art House & International,R,1959,-22.0,worst
175,The Rundown,Action & Adventure,PG-13,2003,-3.0,okay
176,P2,Drama,R,2007,3.0,good
177,Henry V,Action & Adventure,PG-13,1989,-11.0,bad
178,Guru,Art House & International,NR,2007,1.0,okay
179,It Had to Be You,Comedy,R,2016,-18.0,worst
180,Prospect,Science Fiction & Fantasy,R,2018,-20.0,worst
181,POV,Documentary,NR,2004,-5.0,okay
182,Father Goose,Action & Adventure,NR,1964,7.0,good
183,Loverboy,Comedy,PG-13,1989,12.0,good
184,Down in the Delta,Drama,PG-13,1998,-9.0,bad
185,The Heartbreak Kid,Classics,PG,1972,-19.0,worst
186,Tehran Taboo,Animation,NR,2018,-16.0,bad
187,The Spiderwick Chronicles,Action & Adventure,PG,2008,-17.0,bad
188,Wild Wild West,Action & Adventure,PG-13,1999,11.0,good
189,Mimic 2,Horror,R,2001,4.0,good
190,What's the Matter with Kansas?,Documentary,NR,2009,-1.0,okay
191,The Mistress of Spices,Drama,PG-13,2006,31.0,best
192,On the Seventh Day (En el Séptimo Día),Drama,NR,2018,-31.0,worst
193,The Wrecking Crew,Documentary,PG,2015,-10.0,bad
194,White Wedding,Art House & International,PG-13,2010,-4.0,okay
195,Saint,Art House & International,NR,2011,-21.0,worst
196,The Avengers,Action & Adventure,PG-13,1998,10.0,good
197,"My Love, Don't Cross That River",Documentary,NR,2016,-12.0,bad
198,Beauty and the Beast,Drama,PG,2017,9.0,good
199,Every Act of Life,Documentary,NR,2017,11.0,good
200,Dreaming of Joseph Lees,Drama,R,1999,20.0,best
201,The Quietude (La quietud),Drama,NR,2018,29.0,best
202,The Black Balloon,Drama,PG-13,2008,-1.0,okay
203,Cowboy del Amor,Documentary,G,2006,-23.0,worst
204,Liam Gallagher: As It Was,Documentary,NR,2019,0.0,okay
205,Los Cronocrímenes (Timecrimes),Action & Adventure,R,2007,-10.0,bad
206,The Accompanist (L' Accompagnatrice),Art House & International,PG,1992,-2.0,okay
207,The Steel Helmet,Action & Adventure,NR,1951,-14.0,bad
208,Rift (Rökkur),Drama,NR,2017,-35.0,worst
209,The Lightkeepers,Comedy,PG,2010,27.0,best
210,"Farewell, My Lovely",Classics,R,1975,-6.0,okay
211,Breaking and Entering,Drama,R,2007,18.0,best
212,Jurassic World,Action & Adventure,PG-13,2015,6.0,good
213,City Streets,Drama,NR,1931,1.0,okay
214,Not of this Earth,Comedy,R,1988,-19.0,worst
215,Starting Over,Comedy,R,1979,-42.0,worst
216,Love and Honor,Art House & International,PG-13,2007,4.0,good
217,Irina Palm,Art House & International,R,2008,10.0,good
218,Changing Lanes,Action & Adventure,R,2002,-24.0,worst
219,Saints and Soldiers,Action & Adventure,PG-13,2004,11.0,good
220,Aurore (I Got Life!),Art House & International,NR,2017,-27.0,worst
221,Mad Money,Comedy,PG-13,2008,26.0,best
222,The Five Obstructions,Art House & International,NR,2003,-3.0,okay
223,American Violet,Drama,PG-13,2009,4.0,good
224,Bride of the Wind,Drama,R,2001,29.0,best
225,The Brink,Documentary,NR,2019,-26.0,worst
226,What A Man,Art House & International,R,2012,-17.0,bad
227,Plagues & Pleasures on the Salton Sea,Documentary,NR,2004,-10.0,bad
228,Firelight,Art House & International,R,1997,33.0,best
229,Dora and the Lost City of Gold,Action & Adventure,PG,2019,0.0,okay
230,Loves of a Blonde (Lásky jedné plavovlásky),Art House & International,NR,1966,-8.0,bad
231,Tank Girl,Action & Adventure,R,1995,25.0,best
232,Blooded,Art House & International,NR,2010,1.0,okay
233,The Tall Man,Horror,R,2012,-5.0,okay
234,Change in the Air,Drama,PG,2018,60.0,best
235,What's In A Name?,Comedy,NR,2013,3.0,good
236,The Dukes,Comedy,PG-13,2007,-23.0,worst
237,Looking for Eric,Art House & International,G,2010,-7.0,okay
238,Kiki's Delivery Service,Action & Adventure,G,1989,-9.0,bad
239,Metallica: Some Kind of Monster,Documentary,R,2004,-6.0,okay
240,The Great Wall,Action & Adventure,PG-13,2017,6.0,good
241,Grown Ups,Comedy,PG-13,2010,52.0,best
242,50 to 1,Drama,PG-13,2014,53.0,best
243,A Patch of Blue,Classics,NR,2000,-9.0,bad
244,The Real Dirt on Farmer John,Documentary,NR,2007,-10.0,bad
245,The Apostate (El Apóstata),Comedy,NR,2016,-44.0,worst
246,Galaxina,Comedy,R,1980,7.0,good
247,Summer Wars (Sama Wozu),Action & Adventure,PG,2010,11.0,good
248,Pulse,Horror,PG-13,2006,16.0,best
249,Ride,Mystery & Suspense,PG-13,2018,5.0,good
250,Darkon,Documentary,NR,2006,-24.0,worst
251,The Look of Love,Comedy,NR,2013,-19.0,worst
252,Bush's Brain,Documentary,PG-13,2004,-5.0,okay
253,Knife in the Water,Art House & International,NR,1962,-15.0,bad
254,Goodbye to All That,Comedy,NR,2014,-31.0,worst
255,San Francisco,Classics,NR,1936,-29.0,worst
256,Jack Smith and the Destruction of Atlantis,Documentary,NR,2006,1.0,okay
