id,title,genre,cag_rating,cag_release,sScore,sScore_qcut
919,Cinema Paradiso (Nuovo Cinema Paradiso),Art House & International,R,1988,7.0,good
920,Quartet,Art House & International,R,1981,-11.0,bad
921,Room,Art House & International,R,2006,-46.0,worst
922,East Palace West Palace (Dong gong xi gong) (Behind the Forbidden City),Art House & International,PG,1998,-1.0,okay
923,The Golden Compass,Action & Adventure,PG-13,2007,9.0,good
924,Late Bloomer,Art House & International,NR,2004,-25.0,worst
925,Silent Movie,Classics,PG,1976,-7.0,okay
926,Stand and Deliver,Drama,PG,1988,6.0,good
927,Death Defying Acts,Drama,PG,2008,-16.0,bad
928,The Lord of the Rings: The Two Towers,Action & Adventure,PG-13,2002,0.0,okay
929,My Science Project,Comedy,PG,1985,42.0,best
930,Words And Pictures,Comedy,PG-13,2014,7.0,good
931,Strange Illusion,Classics,NR,1945,-53.0,worst
932,Iron Man 2,Action & Adventure,PG-13,2010,-2.0,okay
933,Cruising,Drama,R,1980,-3.0,okay
934,The Horde (La Horde),Action & Adventure,NR,2009,-1.0,okay
935,Imagine Me & You,Comedy,R,2006,40.0,best
936,Fred Won't Move Out,Drama,NR,2012,-64.0,worst
937,Hidden Figures,Drama,PG,2017,0.0,okay
938,Long Time Coming: A 1955 Baseball Story,Documentary,NR,2018,-7.0,okay
939,Splendor,Comedy,R,1999,5.0,good
940,The View From Greenhaven,Comedy,NR,2008,-11.0,bad
941,Flanders (Flandres),Action & Adventure,NR,2007,-9.0,bad
942,Outland,Drama,R,1981,-2.0,okay
943,The War Game,Action & Adventure,NR,1966,-3.0,okay
944,The Hunger Games: Mockingjay - Part 1,Action & Adventure,PG-13,2014,2.0,good
945,Bamako,Art House & International,NR,2006,-14.0,bad
946,Iowa,Drama,NR,2005,3.0,good
947,Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),Action & Adventure,R,1981,-4.0,okay
948,The Professor and the Madman,Drama,NR,2019,39.0,best
949,Dark Night of the Scarecrow,Drama,NR,1981,14.0,good
950,Mondays in the Sun (Los Lunes al sol),Comedy,R,2003,7.0,good
951,Blue Ruin,Mystery & Suspense,R,2014,-17.0,bad
952,American Gigolo,Drama,R,1980,-17.0,bad
953,Sergio and Sergei,Drama,NR,2017,-36.0,worst
954,Suite Française,Drama,NR,2015,-8.0,bad
955,Jupiter Ascending,Action & Adventure,PG-13,2015,11.0,good
956,"Rabin, the Last Day",Drama,NR,2016,-25.0,worst
957,Standoff,Action & Adventure,R,2016,-13.0,bad
958,Random Harvest,Classics,NR,1942,0.0,okay
959,The Boy Who Harnessed the Wind,Art House & International,NR,2019,3.0,good
960,Bananas,Classics,PG-13,1971,-14.0,bad
961,Piranha Part Two: The Spawning,Drama,R,1981,5.0,good
962,Down and Derby,Comedy,PG,2005,29.0,best
963,Drunken Angel,Art House & International,NR,1948,-4.0,okay
964,Saw 3D,Horror,R,2010,32.0,best
965,Stray Dog,Documentary,NR,2015,-36.0,worst
966,The Hunting of the President,Documentary,NR,2004,-21.0,worst
967,Thor: Ragnarok,Action & Adventure,PG-13,2017,-6.0,okay
968,Poor Boy's Game,Art House & International,R,2007,-17.0,bad
969,One Track Heart: The Story of Krishna Das,Documentary,NR,2013,-15.0,bad
970,Under Suspicion,Art House & International,R,2000,0.0,okay
971,American Gun,Art House & International,R,2006,4.0,good
972,Western,Documentary,NR,2015,-38.0,worst
973,The Freshman (College Days),Classics,NR,1925,-14.0,bad
974,Escobar: Paradise Lost,Drama,R,2015,-6.0,okay
975,Kumaré,Documentary,NR,2012,24.0,best
976,The World Before Her,Art House & International,NR,2013,-21.0,worst
977,Wild America,Action & Adventure,PG,1997,32.0,best
978,Lola Montès,Drama,NR,1955,-4.0,okay
979,Gypsy,Art House & International,NR,2012,-13.0,bad
980,Prime Cut,Action & Adventure,R,1972,3.0,good
981,Cut Snake,Mystery & Suspense,R,2015,-25.0,worst
982,Please Don't Eat the Daisies,Classics,PG,1960,3.0,good
983,Armageddon,Action & Adventure,PG-13,1998,35.0,best
984,High School Musical 2,Comedy,G,2007,-10.0,bad
985,David Bowie Is Happening Now,Musical & Performing Arts,NR,2014,7.0,good
986,Lift,Drama,R,2001,20.0,best
987,Psychomania,Action & Adventure,PG,1971,-30.0,worst
988,Deep Red (Profondo rosso),Art House & International,R,1975,-10.0,bad
989,Tales of Halloween,Horror,NR,2015,-37.0,worst
990,Blast From the Past,Comedy,PG-13,1999,-1.0,okay
991,Incident at Loch Ness,Comedy,PG-13,2004,4.0,good
992,Island,Art House & International,NR,2010,14.0,good
993,Beyond the Lights,Drama,PG-13,2014,-8.0,bad
994,My Week with Marilyn,Drama,R,2011,-12.0,bad
995,The Imposter,Documentary,R,2012,-17.0,bad
996,The Great Escape,Action & Adventure,NR,1963,1.0,okay
997,The Wall,Drama,R,2017,-23.0,worst
998,Soom (Breath),Art House & International,NR,2007,9.0,good
999,The Animatrix,Action & Adventure,PG-13,2003,-11.0,bad
1000,St Trinian's II: The Legend of Fritton's Gold,Action & Adventure,NR,2009,31.0,best
1001,Hellraiser: Judgment,Horror,NR,2018,-24.0,worst
1002,Belle's Magical World,Animation,G,1998,56.0,best
1003,Trick,Comedy,R,1999,5.0,good
1004,Go Now,Drama,R,1998,13.0,good
1005,No Way to Treat a Lady,Classics,NR,1968,-15.0,bad
1006,Kin,Action & Adventure,PG-13,2018,22.0,best
1007,Memories of Tomorrow (Ashita no kioku),Art House & International,NR,2007,4.0,good
1008,House of Pleasures,Drama,NR,2011,-21.0,worst
1009,Turistas (Paradise Lost),Drama,R,2006,10.0,good
1010,Support the Girls,Comedy,R,2018,-26.0,worst
1011,Cobra Verde,Action & Adventure,NR,1987,-12.0,bad
1012,Simone,Comedy,PG-13,2002,-16.0,bad
1013,The Bone Collector,Mystery & Suspense,R,1999,35.0,best
1014,House Arrest,Comedy,PG,1996,35.0,best
1015,Michael Clayton,Drama,R,2007,-22.0,worst
1016,Chicken with Plums,Art House & International,PG-13,2012,-3.0,okay
1017,The Cure,Drama,PG-13,1995,40.0,best
1018,Homicidal,Classics,NR,1961,-13.0,bad
1019,This Is Elvis,Documentary,PG,1981,1.0,okay
1020,The Keeper: The Legend of Omar Khayyam,Action & Adventure,PG,2005,3.0,good
1021,The Misandrists,Comedy,NR,2018,-27.0,worst
1022,Who's That Knocking at My Door?,Action & Adventure,R,1967,-7.0,okay
1023,Spotlight,Drama,R,2015,-4.0,okay
1024,Lavender,Drama,NR,2017,-10.0,bad
1025,Oliver Sherman,Drama,NR,2010,-4.0,okay
1026,Urban Legend,Horror,R,1998,18.0,best
1027,Another Evil,Comedy,NR,2017,-31.0,worst
1028,What Haunts Us,Documentary,NR,2018,-25.0,worst
1029,The People Under The Stairs,Comedy,R,1991,-5.0,okay
1030,Jhoom Barabar Jhoom,Art House & International,NR,2007,-7.0,okay
1031,Caddyshack,Comedy,R,1980,13.0,good
1032,The Cemetery Club,Comedy,PG-13,1993,-26.0,worst
1033,MacKenna's Gold,Action & Adventure,PG,1969,50.0,best
1034,Jump In!,Comedy,G,2007,-2.0,okay
1035,On the Beach,Classics,NR,1959,-7.0,okay
1036,Come Blow Your Horn,Classics,NR,1963,-12.0,bad
1037,Wag the Dog,Comedy,R,1997,-9.0,bad
1038,Guilty (Talvar),Art House & International,NR,2015,2.0,good
1039,Tonnerre,Comedy,NR,2014,-12.0,bad
1040,Alone in the Dark,Horror,R,1982,-38.0,worst
1041,Viva Zapatero!,Art House & International,NR,2006,-10.0,bad
1042,Curvature,Drama,NR,2018,16.0,best
1043,Americons,Action & Adventure,R,2015,66.0,best
1044,The Four Times (Le Quattro Volte),Art House & International,NR,2011,-18.0,worst
1045,The Social Network,Drama,PG-13,2010,-10.0,bad
1046,Up at the Villa,Drama,PG-13,2000,-11.0,bad
1047,Southie,Action & Adventure,R,1998,12.0,good
1048,Bailey's Billion$ (Bailey's Billions),Comedy,G,2005,27.0,best
1049,The Strongest Man,Comedy,NR,2015,26.0,best
1050,Gerontophilia,Comedy,NR,2015,-5.0,okay
1051,Tim's Vermeer,Documentary,PG-13,2014,-3.0,okay
1052,Shining Through,Action & Adventure,R,1992,29.0,best
1053,Menashe,Drama,PG,2017,-33.0,worst
1054,Les Rendez-vous d'Anna (The Meetings of Anna),Art House & International,NR,1978,14.0,good
1055,Private Life,Drama,R,2018,-18.0,worst
1056,Everybody's All-American,Drama,R,1988,4.0,good
1057,The Sheik and I,Art House & International,NR,2012,-9.0,bad
1058,Motorpsycho,Action & Adventure,NR,1965,-4.0,okay
1059,Into The Storm,Mystery & Suspense,PG-13,2014,21.0,best
1060,The Real McCoy,Action & Adventure,PG-13,1993,10.0,good
1061,Joan of Arc,Drama,NR,1999,47.0,best
1062,A Zed and Two Noughts,Comedy,R,1990,6.0,good
1063,The Petrified Forest,Classics,NR,1936,-20.0,worst
1064,A People Uncounted,Documentary,NR,2014,-28.0,worst
1065,Deadpool 2,Action & Adventure,R,2018,1.0,okay
1066,Sex and Death 101,Comedy,R,2007,15.0,good
1067,The Human Resources Manager,Comedy,NR,2011,-13.0,bad
1068,Equus,Drama,R,1977,15.0,good
1069,A Dry White Season,Drama,R,1989,-6.0,okay
1070,Power,Drama,R,1986,-6.0,okay
1071,Persuasion,Drama,PG,1995,-3.0,okay
1072,The Stray,Drama,PG,2017,29.0,best
1073,A Patch Of Fog,Art House & International,NR,2017,-13.0,bad
1074,Sheitan,Art House & International,NR,2007,-1.0,okay
