,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore
/m/1060720-kiss_of_death,/m/1060720-kiss_of_death,Kiss of Death,"[""Action & Adventure"",""Drama"",""Mystery & Suspense""]",R,1995,68,38
/m/lisboa,/m/lisboa,Lisboa (Lisbon),"[""Art House & International"",""Mystery & Suspense""]",NR,1999,null,27
/m/1053969-variety,/m/1053969-variety,Varieté (Variety) (Jealousy),"[""Art House & International"",""Classics"",""Drama""]",NR,1925,100,88
/m/michael_jacksons_journey_from_motown_to_off_the_wall,/m/michael_jacksons_journey_from_motown_to_off_the_wall,Michael Jackson's Journey From Motown to Off the Wall,"[""Documentary""]",NR,2016,93,90
/m/big_fix,/m/big_fix,The Big Fix,"[""Comedy"",""Drama"",""Mystery & Suspense""]",PG,1978,86,52
/m/freeze_me,/m/freeze_me,Freeze Me,"[""Art House & International"",""Drama"",""Mystery & Suspense""]",NR,2001,55,43
/m/bowfinger,/m/bowfinger,Bowfinger,"[""Comedy""]",PG-13,1999,81,61
/m/on_chesil_beach,/m/on_chesil_beach,On Chesil Beach,"[""Drama"",""Romance""]",R,2018,67,64
/m/1178348-the_last_time,/m/1178348-the_last_time,The Last Time,"[""Comedy"",""Drama""]",R,2007,35,39
/m/1073412-titanic,/m/1073412-titanic,Titanic,"[""Action & Adventure"",""Classics"",""Drama"",""Television""]",PG-13,1996,null,71
/m/siren_2011,/m/siren_2011,Siren,"[""Art House & International"",""Horror"",""Mystery & Suspense""]",R,2011,null,13
/m/my_tutor,/m/my_tutor,My Tutor,"[""Comedy"",""Drama""]",R,1983,null,36
/m/1066050-party_girl,/m/1066050-party_girl,Party Girl,"[""Art House & International"",""Comedy"",""Romance""]",R,1995,78,76
/m/1068182-heat,/m/1068182-heat,Heat,"[""Action & Adventure"",""Mystery & Suspense""]",R,1995,86,94
/m/the_guard_2011,/m/the_guard_2011,The Guard,"[""Comedy"",""Mystery & Suspense""]",R,2011,94,81
/m/bitter_sweetheart,/m/bitter_sweetheart,Bitter Sweetheart,"[""Art House & International"",""Comedy"",""Drama""]",NR,2007,null,45
/m/susan_lenox_her_fall_and_rise,/m/susan_lenox_her_fall_and_rise,Susan Lenox: Her Fall and Rise,"[""Action & Adventure"",""Drama"",""Romance""]",NR,1931,null,60
/m/nitro,/m/nitro,Nitro,"[""Action & Adventure""]",G,2007,null,49
